1,рис,6.61,0.58,79.34,360,1
2,хлеб,11,2.4,60,360,1
3,сухие сливки,2.2,35,57.5,611,1
4,бич,9,22,58,470,1
5,булгур с овощами,11.9,1.7,74.2,359.7,1
6,бульон с грибами,1.6,6.8,45,250,1
7,вермешель буковки,12,1,72,350,1
8,говядина,54.5,5.6,0,269,1
9,гречка,12.6,3.3,62.1,335,1
10,джем,0,0,68,272,1
11,карпюр,5.6,0.2,79.1,350,1
12,крисп,11,2.4,60,360,1
13,курица,51.1,8.8,1,288,1
14,кус-кус,12.8,0.6,72.4,376,1
15,лапша,2,1.3,70.5,342,1
16,макароны,2,1.3,70.5,342,1
17,омлет,12.7,11.5,0.7,157,1
18,печенье овсяное,6,17,68,460,1
19,приправы,0,0,0,0,1
20,приправы гуляш,8.5,4.1,60,331,1
21,приправы курица в сливочно чесночном,6.5,2.2,60,298,1
22,пряник тульский,5.8,6.5,71.6,364,1
23,ризонни,12,1.2,71,350,1
24,сахар,0,0,100,400,1
25,сливки,2.2,35,57.5,611,1
26,сникерс,7.8,26,58,500,1
27,соус,3,0,21,95,1
28,сыр,35,27,0,470,1
29,сырок,5.7,18,13.9,240,1
30,цукаты,0.3,0.1,81.1,322,1
31,колбаса ск,17,34,1,366,1
32,спирт,4,0,3.8,710,0
33,нутелла,6.8,31,56,546,1
34,халва,14.7,33,44,528,1
35,орео,4.9,28.8,68,478,1
36,бич мама фобо,9,22,58,470,1
37,бич мама том ям,9,22,58,470,1
38,мясо свингов,54.5,5.6,0,269,1
39,масло,0.5,82.5,0.8,747.7,1
40,чесночная намазка,0.5,82.5,0.8,747.7,1
41,овсянка,12,6,62,350,1
42,конфеты картошка,4.5,27,61,510,1
43,томатная паста,3.5,0.6,15.8,63.2,1
44,сальная намазка вкусвилл,1.2,90.8,1,826,1
45,козинак,14,37,36,533,1
46,сыр плавленный виола,10,20,2.5,230,1
47,арахисовая паста,26.4,42.6,29,605,1
48,мармелад,0,0,80,320,1
49,томаты вяленые,13,0,75,350,1
50,маленький сникерс,8.3,25.5,57.7,496,1
51,сникерс,8.3,25.5,57.7,496,1
52,пшенка,11.5,3.3,65.5,348,1
53,сыр пармезан тертый,33,26,0,366,1
54,печенье любятово с шоколадной глазурью,6.3,25.4,59.2,495,1
55,шоколад,5.9,30,59,525,1
56,шоколадные конфеты,4.5,27,61,510,1
57,тульский пряник мини,7,8,69,380,1
58,тульский пряник,7,8,69,380,1
59,ньюоки,2,1.3,70.5,342,1
60,грудинка,10,60,0,410,1
61,бекон,16,40,0,420,1
62,конфеты отломи,9,24,52,460,1
63,белый шоколад воздушный,4.4,27,66,528,1
64,мармелад,0,0,86,350,1